"Academic Conference Name
(academic only please)","Location
(Keep sorted alpha please)",Region,Dates,Notes,Announcement Link,Estimated # of Attendees (do not remove or hide column),Source of Attendee Estimate,Contact ,Phone number,2nd Contact,Address,Email address
*Academic Impressions,*several,,*several,"AI hosts many conferences, they will either be postponed or made virtual",https://www.academicimpressions.com/updates/,,,"Amit Mrig, President",720-488-6800,Star Slade                    Meeting Planner,"5299 DTC Blvd., Ste. 1400  Greenwood Village, CO 80111",amit@academicimpressions.com
Gordon Research Conferences,"*Various (Hong Kong, Italy, Spain, Switzerland, California and Texas) ",*Various,*Various,"Rescheduled meetings in Hong Kong, Italy, Spain, Switzerland, California and Texas through June 2020 to date/location TBD in 2022",www.grc.org,,,"Nancy Ryan Gray, President",401-783-4011,,"512 Liberty Ln West Kingston, RI 02892-1502",
International Association of Media and Communication Research (IAMCR),"Beijing, China",Asia,"July 12-16, 2020","Moved to Tampere, Finland",https://tampere2020.iamcr.org/cfp,,,"Executive Director
Bruce Girard",,,"Pablo de María 1036
Montevideo, CP 11.200
Uruguay


",tampere2020@iamcr.org
C. L. Davis Foundation Microscopic Descriptive Techniques ,"Beijing, China",Asia,"July 7-8, 2020",Cancelled,"https://www.facebook.com/groups/CLDavisFoundation/ and e-mail from Dr. Bruce Williams, CEO, on March 1, 2020",,,Bruce Williams (CEO) ,847-367-4359 ,"6241 Formoor Lane
Gurnee, Illinois 60031-4757","One Monarch Place, Ste. 1300 Springfield, MA 01144-1300",info@cldavis.org
International Coral Reef Symposium 2020,"Bremen, Germany",Europe,"July 5-10, 2020",Postponed to July 2021,https://www.icrs2020.de/,,,Malik Naumann,,,,Malik Naumann <malik.naumann@icrs2020.de>
Australian Mental Health in Higher Education Conference,"Brisbane, QLD, Australia",Oceania,"July 9-10, 2020","Postponed indefinitely, but special issue of papers will go ahead.", https://www.jcu.edu.au/amhhec/2020-conference ,,,"Professor Margaret Carter
Discipline Chair for Counselling, Australian College of Applied Psychology",,," Australian College of Applied Psychology, East Tower, Ground Floor, 410 Ann Street Brisbane, 4000 Australia",Margaret.Henni@jcu.edu.au
Genome Science 2020,"Bristol, UK",European Island,September 2020,Cancelled,https://twitter.com/pathogenomenick/status/1237382145577975819,,,"
Nick Loman

",,,,"
Nick Loman@pathogenomenick
"
Great Lakes Science Boot Camp for Librarians,"Columbus, OH, USA (Ohio State University)",Americas,"July 15-17, 2020",Cancelled,"FB post, https://sites.google.com/site/greatlakessbc/home",75,FB page ,Danny Dotson - dotson.77@osu.edu ,,Lynda Hartel lynda.hartel@osumc.edu,,dotson.77@osu.edu
Biennial Conference on Chemical Education,"Corvallis, OR, USA",Americas,"July 18-23, 2020",Cancelled,"FB post, https://bcce2020.org/","Richard L Nafshun, General Chair
Department of Chemistry
Oregon State University
Corvallis, OR",,,,Conference Services at BCCEInformation@oregonstate.edu,"Oregon State University
660 SW 26th St., Reser West, Door 6
Corvallis, OR  97331",Richard.Nafshun@oregonstate.edu
Rural Sociology Society Annual meeting ,"Denver, Colorado",Americas,July 2020,,,,,,,,,
